old_file,abstract
1801_06863_main.tex," %% Text of abstract Amidst widespread reports of digital influence operations during major elections, policymakers, scholars, and journalists have become increasingly interested in the political impact of social media `bots.' Most recently, platform companies like Facebook and Twitter have been summoned to testify about bots as part of investigations into digitally-enabled foreign manipulation during the 2016 US Presidential election. Facing mounting pressure from both the public and from legislators, these companies have been instructed to crack down on apparently malicious bot accounts. But as this article demonstrates, since the earliest writings on bots in the 1990s, there has been substantial confusion as to exactly what a `bot' is and what exactly a bot does. We argue that multiple forms of ambiguity are responsible for much of the complexity underlying contemporary bot-related policy, and that before successful policy interventions can be formulated, a more comprehensive understanding of bots --- especially how they are defined and measured --- will be needed. In this article, we provide a history and typology of different types of bots, provide clear guidelines to better categorize political automation and unpack the impact that it can have on contemporary technology policy, and outline the main challenges and ambiguities that will face both researchers and legislators concerned with bots in the future. "
1801_01215_NGC650.tex,"  With its bright and wide equatorial waist seen almost edge-on ( ``the butterfly body'' ) and the faint and broad bipolar extensions ( \emph{``the butterfly wings''} ), NGC \sc SHAPE is the archetypical example of bipolar planetary nebula (PN) with butterfly morphology. We present here deep high-resolution broad- and narrow-band optical images that expose the rich and intricate fine-structure of this bipolar PN, with % ``cometary'' knots and small-scale bubble-like features and collimated outflows.  A  spatio-kinematical model indicates that NGC \,650-1 has a broad central torus with an inclination angle of 75$\degr$ with respect to the line of sight, whereas that of the bipolar lobes, which are clearly seen in the position-velocity maps, is 85 $\degr$ . Large field of view deep images show, for first time, an arc-like diffuse envelope in low- and high-excitation emission lines located up to 180 \arcsec \ towards the East-Southeast of the central star, well outside the main nebula. This morphological component is confirmed by Spitzer MIPS and WISE infrared imaging, as well as by long-slit low- and high-dispersion optical spectroscopic observations. HST images of NGC \,650-1 obtained at two different epochs $\sim$ 14 yrs apart reveal the proper motion of the central star along this direction. We propose that this motion of the star through the interstellar medium compresses the remnant material of a slow Asymptotic Giant Branch wind, producing this bow-shock-like feature. "
1801_01081_Mult.tex," We present a novel set of reversible modular multipliers applicable to quantum computing, derived from three classical techniques: 1) traditional integer division, 2) Montgomery residue arithmetic~ Montgomery1985 , and 3) Barrett reduction~ Barrett1987 . Each multiplier computes an exact result for all binary input values, while maintaining the asymptotic resource complexity of a single (non-modular) integer multiplier. We additionally conduct an empirical resource analysis of our designs in order to determine the total gate count and circuit depth of each fully constructed circuit, with inputs as large as 2048 bits. Our comparative analysis considers both circuit implementations which allow for arbitrary (controlled) rotation gates, as well as those restricted to a typical fault-tolerant gate set. "
1801_05857_main.tex," The use of graphics processors (GPUs) is a promising approach to speed up model checking to such an extent that it becomes feasible to instantly verify software systems during development. \GPUexplore is an explicit-state model checker that runs all its computations on the GPU. Over the years it has been extended with various techniques, and the possibilities to further improve its performance have been continuously investigated. In this paper, we discuss how the hash table of the tool works, which is at the heart of its functionality. We propose an alteration of the hash table that in isolated experiments seems promising, and analyse its effect when integrated in the tool. Furthermore, we investigate the current scalability of \GPUexplore, by experimenting both with input models of varying sizes and running the tool on one of the latest GPUs of NVIDIA. "
1801_05991_paper.tex," To fathom the mechanism of high-temperature ( $T_{\rm c}$ ) superconductivity, the dynamical vertex approximation (D $\Gamma$ A) is evoked for the two-dimensional repulsive Hubbard model.  After showing that our results well reproduce the cuprate phase diagram with a reasonable $T_{\rm c}$ and dome structure, we keep track of the scattering processes that primarily affect $T_{\rm c}$ . We find that local particle-particle diagrams significantly screen the bare interaction, which in turn suppress the pairing interaction. Hence we identify such vertex corrections as one of the main oppressors of $T_{\rm c}$ .  This may provide a hint for boosting the pairing strength, and hence toward higher $T_{\rm c}$ . "
1801_09552_Pusgr_17.tex,"\small{In this papper, we give an introduction to basic concepts of automaton semigroups. While we must note that this paper does not contain new results, it is focused on extended introduction in the subject and detailed examples.}"
1801_07735.tex," The multipolar Hamiltonian of quantum electrodynamics (QED) is extensively employed in chemical and optical physics to treat rigorously the interaction of electromagnetic fields with matter. It is also widely used to evaluate intermolecular interactions. The multipolar version of the Hamiltonian is commonly obtained by carrying out a unitary transformation of the Coulomb gauge Hamiltonian that goes by the name of Power-Zienau-Woolley (PZW). Not only does the formulation provide excellent agreement with experiment, and versatility in its predictive ability, but also superior physical insight. Recently, the foundations and validity of the PZW Hamiltonian have been questioned, raising a concern over issues of gauge transformation and invariance, and whether observable quantities obtained from unitarily equivalent Hamiltonians are identical. Here, an in-depth analysis of theoretical foundations clarifies the issues and enables misconceptions to be identified. Claims of non-physicality are refuted: the PZW transformation and ensuing Hamiltonian are shown to rest on solid physical principles and secure theoretical ground. "
1801_03895_ISIT18.tex," Index coding achieves bandwidth savings by jointly encoding the messages demanded by all the clients in a broadcast channel. The encoding is performed in such a way that each client can retrieve its demanded message from its side information and the broadcast codeword. In general, in order to decode its demanded message symbol, a receiver may have to observe the entire transmitted codeword. Querying or downloading the codeword symbols might involve costs to a client -- such as network utilization costs and storage requirements for the queried symbols to perform decoding. In traditional index coding solutions, this client aware perspective is not considered during code design. As a result, for these codes, the number of codeword symbols queried by a client per decoded message symbol, which we refer to as `locality', could be large. In this paper, considering locality as a cost parameter, we view index coding as a trade-off between the achievable broadcast rate (codeword length normalized by the message length) and locality, where the objective is to minimize the broadcast rate for a given value of locality and vice versa. We show that the smallest possible locality for any index coding problem is 1, and that the optimal index coding solution with locality 1 is the coding scheme based on fractional coloring of the interference graph. We propose index coding schemes with small locality by covering the side information graph using acyclic subgraphs and subgraphs with small minrank. We also show how locality can be accounted for in conventional partition multicast and cycle covering solutions to index coding. Finally, applying these new techniques, we characterize the locality-broadcast rate trade-off of the index coding problem whose side information graph is the directed 3-cycle. "
1801_06386_intro.tex," In this paper we study some consequences of the author's classification of graph manifolds by their profinite fundamental groups. In particular we study commensurability, the behaviour of knots, and relation to mapping classes. We prove that the exteriors of graph knots are distinguished among all 3-manifold groups by their profinite fundamental groups. We also prove a strong conjugacy separability result for certain mapping classes of surfaces. "
1801_07705_submit.tex," Reliable first-principles calculations of electrochemical processes require accurate prediction of the interfacial capacitance, a challenge for current computationally-efficient continuum solvation methodologies. We develop a model for the double layer of a metallic electrode that reproduces the features of the experimental capacitance of Ag(100) in a non-adsorbing, aqueous electrolyte, including a broad hump in the capacitance near the Potential of Zero Charge (PZC), and a dip in the capacitance under conditions of low ionic strength. Using this model, we identify the necessary characteristics of a solvation model suitable for first-principles electrochemistry of metal surfaces in non-adsorbing, aqueous electrolytes: dielectric and ionic nonlinearity, and a dielectric-only region at the interface. The dielectric nonlinearity, caused by the saturation of dipole rotational response in water, creates the capacitance hump, while ionic nonlinearity, caused by the compactness of the diffuse layer, generates the capacitance dip seen at low ionic strength. We show that none of the previously developed solvation models simultaneously meet all these criteria. We design the Nonlinear Electrochemical Soft-Sphere solvation model (NESS) which both captures the capacitance features observed experimentally, and serves as a general-purpose continuum solvation model. "
1801_10395_prssm_arxiv_paper.tex, 	 content/abstract 	 -5mm
1801_02766.tex, We give a purely scheme theoretic construction of the filtration by ramification groups of the Galois group of a covering. The valuation need not be discrete but the normalizations are required to be locally of complete intersection.
1801_06267_ms.tex," Mobile app development involves a unique set of challenges including device fragmentation and rapidly evolving platforms, making testing a difficult task. The design space for a comprehensive mobile testing strategy includes features, inputs, potential contextual app states, and large combinations of devices and underlying platforms. Therefore, automated testing is an essential activity of the development process. However, current state of the art of automated testing tools for mobile apps poses limitations that has driven a preference for manual testing in practice. As of today, there is no comprehensive automated solution for mobile testing that overcomes fundamental issues such as automated oracles, history awareness in test cases, or automated evolution of test cases. In this perspective paper we survey the current state of the art in terms of the frameworks, tools, and services available to developers to aid in mobile testing, highlighting present shortcomings. Next, we provide commentary on current key challenges that restrict the possibility of a comprehensive, effective, and practical automated testing solution. Finally, we offer our vision of a comprehensive mobile app testing framework, complete with research agenda, that is succinctly summarized along three principles: Continuous, Evolutionary and Large-scale (CEL). "
1801_09633_informativeness-actionability.tex,"\abstract{ Crisis responders are increasingly using social media, data and other digital sources of information to build a situational understanding of a crisis situation in order to design an effective response. However with the increased availability of such data, the challenge of identifying relevant information from it also increases. This paper presents a successful automatic approach to handling this problem. Messages are filtered for informativeness based on a definition of the concept drawn from prior research and crisis response experts. Informative messages are tagged for actionable data -- for example, people in need, threats to rescue efforts, changes in environment, and so on. In all, eight categories of actionability are identified. The two components -- informativeness and actionability classification -- are packaged together as an openly-available tool called Emina (Emergent Informativeness and Actionability). }"
1801_05466_sts.tex," We derive and study a significance test for determining if a panel of functional time series is separable. In the context of this paper, separability means that the covariance structure factors into the product of two functions, one depending only on time and the other depending only on the coordinates of the panel. Separability is a property which can dramatically improve computational efficiency by substantially reducing model complexity. It is especially useful for functional data as it implies that the functional principal components are the same for each member of the panel. However such an assumption must be verified before proceeding with further inference. Our approach is based on functional norm differences and provides a test with well controlled size and high power. We establish our procedure quite generally, allowing one to test separability of autocovariances as well. In addition to an asymptotic justification, our methodology is validated by a simulation study. It is applied to functional panels of particulate pollution and stock market data. "
1801_04514_arxiv.tex," We develop a framework for the general interpretation of the stochastic dynamical system near a limit cycle.  Such quasi-periodic dynamics are commonly found in a variety of nonequilibrium systems, including the spontaneous oscillations of hair cells in the inner ear.  We demonstrate quite generally that in the presence of noise, the phase of the limit cycle oscillator will diffuse while deviations in the directions locally orthogonal to that limit cycle will display the Lorentzian power spectrum of a damped oscillator. We identify two mechanisms by which these stochastic dynamics can acquire a complex frequency dependence, and discuss the deformation of the mean limit cycle as a function of temperature. The theoretical ideas are applied to data obtained from spontaneously oscillating hair cells of the amphibian sacculus. "
1801_07888_Dicke_SpinHalf.tex," The Dicke model is of fundamental importance in quantum mechanics for understanding the collective behaviour of atoms coupled to a single electromagnetic mode. In this paper, we demonstrate a Dicke-model simulation using cavity-assisted Raman transitions in a configuration using counter-propagating laser beams. The observations indicate that motional effects should be included to fully account for the results and these results are contrasted with the experiments using single-beam and co-propagating configurations. A theoretical description is given that accounts for the beam geometries used in the experiments and indicates the potential role of motional effects. In particular a model is given that highlights the influence of Doppler broadening on the observed thresholds. "
1801_08565_Rollercoaster.tex," 		A {\em rollercoaster} is a sequence of real numbers for which every maximal contiguous subsequence, that is increasing or decreasing, has length at least three. By translating this sequence to a set of points in the plane, a rollercoaster can be defined as a polygonal path for which every maximal sub-path, with positive- or negative-slope edges, has at least three points. Given a sequence of distinct real numbers, the rollercoaster problem asks for a maximum-length (not necessarily contiguous) subsequence that is a rollercoaster. It was conjectured that every sequence of $n$ distinct real numbers contains a rollercoaster of length at least $\lceil n/2\rceil$ for $n>7$ , while the best known lower bound is $\Omega(n/\log n)$ . In this paper we prove this conjecture. Our proof is constructive and implies a linear-time algorithm for computing a rollercoaster of this length. Extending the $O(n\log n)$ -time algorithm for computing a longest increasing subsequence, we show how to compute a maximum-length rollercoaster within the same time bound. A maximum-length rollercoaster in a permutation of $1,\dots,n\$ can be computed in $O(n \log \log n)$ time. 		 		 		The search for rollercoasters was motivated by orthogeodesic point-set embedding of caterpillars. A {\em caterpillar} is a tree such that deleting the leaves gives a path, called the {\em spine} . A {\em top-view caterpillar} is one of degree 4 such that the two leaves adjacent to each vertex lie on opposite sides of 		the spine. As an application of our result on rollercoasters, we are able to find a planar drawing of every $n$ -node top-view caterpillar on every set of $25{3}n$ points in the plane, such that each edge is an orthogonal path with one bend. This improves the previous best known upper bound on the number of required points, which is $O(n \log n)$ . We also show that such a drawing can be obtained in linear time, provided that the points are given in sorted order. 	"
1801_00958.tex," In this paper, we solve the problem of exponential stabilization for a class of cascade ODE-PDE system governed by a linear ordinary differential equation and a $1-d$ linearized Korteweg-de Vries equation (KdV) posed on a bounded interval. The control for the entire system acts on the left boundary with Dirichlet condition of the KdV equation whereas the KdV acts in the linear ODE by a Dirichlet connection. We use the so-called backstepping design in infinite dimension to convert the system under consideration into an exponentially stable cascade ODE-PDE system.Then, we use the invertibility of such design to achieve the exponential stability for the ODE-PDE cascade system under consideration by using Lyapunov analysis. "
1801_08387_minimal-model-on-degenerating-genus-2-surfaces-01-2018.tex," In the $(2,5)$ minimal model, the partition function for genus $g=2$ Riemann surfaces is expected to be given by a quintuplet of Siegel modular forms that extend the Rogers-Ramanujan functions on the torus. Their expansions around the $g=2$ boundary components of the moduli space are obtained in terms of standard modular forms. In the case where a handle of the $g=2$ surface is pinched, our method requires knowledge of the $2$ -point function of the fundamental lowest-weight vector in the non-vacuum representation of the Virasoro algebra, for which we derive a third order ODE. "
1801_07061_Adaptive_PNC_arXiv.tex," Physical layer network coding (PNC) has been studied to serve wireless network MIMO systems with much lower backhaul load than approaches such as Cloud Radio Access Network (Cloud-RAN) and coordinated multipoint (CoMP). In this paper, we present a design guideline of engineering-applicable PNC to fulfil the request of high user densities in 5G wireless RAN infrastructure. Unlike computer-and-forward and PNC schemes designed for two-way relay channels, the proposed PNC is designed for uplink of network MIMO systems. We show that the proposed design criterion guarantee that 1) the whole system operates over binary system; 2) each access point can choose singular PNC function to overcome all fade states; 3) the destination can unambiguously recover all source messages while the overall backhaul load remains at the lowest level regardless of which digital mapping is used. We develop a two-stage search algorithm to identify the optimum PNC mapping functions with a practical selection approach which greatly reduces the real-time computation complexity is presented with a small performance loss. Numerical results show that the proposed scheme achieves low bit error rate with reduced backhaul load. "
1801_06527_IAUS333_proceedings_HannahRoss.tex," The upcoming radio interferometer Square Kilometre Array is expected to directly detect the redshifted 21-cm signal from the Cosmic Dawn for the first time. In this era temperature fluctuations from X-ray heating of the neutral intergalactic medium can impact this signal dramatically. Previously, in Ross2017 , we presented the first large-volume, 244~ $h^{-1}$ Mpc=349 \,Mpc a side, fully numerical radiative transfer simulations of X-ray heating. This work is a follow-up where we now also consider QSO-like sources in addition to high mass X-ray binaries. Images of the two cases are clearly distinguishable at SKA1-LOW resolution and have RMS fluctuations above the expected noise. The inclusion of QSOs leads to a dramatic increase in non-Gaussianity of the signal, as measured by the skewness and kurtosis of the 21-cm signal. We conclude that this increased non-Gaussianity is a promising signature of early QSOs.  cosmology: theory --- radiative transfer --- reionization --- intergalactic medium --- large-scale structure of universe --- galaxies: formation --- QSOs %% add here a maximum of 10 keywords, to be taken form the file <Keywords.txt> "
1801_06743_Ce3-xCo9MgxVT_DP.tex," We report on the synthesis of single crystalline and polycrystalline samples of Ce $_{3-x}$ Mg $_x$ Co $_9$ solid solution ( $0\leq x \lesssim 1.4$ ) and characterization of their structural and magnetic properties. The crystal structure remains rhombohedral in the whole composition range and Mg partially replaces Ce in the 6 c site of the CeCo $_3$ structure. Ferromagnetism is induced by Mg substitutions starting as low as  $x=0.18$ and reaching a Curie temperature as high as $450$ \,K for $x=1.35$ . Measurements on single crystals with $x=1.34$ and $T_C=440$ \,K indicate an axial magnetic anisotropy with the anisotropy field of $6$ \,T and a magnetization of $6$ \, $\mu_B/$ f.u. at $300$ \,K. Coercicity is observed in the polycrystalline samples consistent with the observed axial magnetic anisotropy. Our discovery of ferromagnetism with large axial magnetic anisotropy induced by substituting a rare-earth element by Mg is a very promising result in the search of inexpensive permanent-magnet materials and suggests other non-magnetic phases, similar to CeCo$_3$ , may also conceal nearby ferromagnetic phases. "
1801_01450_qti_eka.tex," A fundamental problem in object recognition is the development of image representations that are invariant to common transformations such as translation, rotation, and small deformations. There are multiple hypotheses regarding the source of translation invariance in CNNs. One idea is that translation invariance is due to the increasing receptive field size of neurons in successive convolution layers. Another possibility is that invariance is due to the pooling operation. We develop a simple a tool, the translation-sensitivity map, which we use to visualize and quantify the translation-invariance of various architectures. We obtain the surprising result that architectural choices such as the number of pooling layers and the convolution filter size have only a secondary effect on the translation-invariance of a network. Our analysis identifies training data augmentation as the most important factor in obtaining translation-invariant representations of images using convolutional neural networks. "
1801_02800_arxiv-holevo-fidelity_isit18.tex," Holevo's just-as-good fidelity is a similarity measure for quantum states that has found several applications. One of its critical properties is that it obeys a data processing inequality: \ the measure does not decrease under the action of a quantum channel on the underlying states. In this paper, I prove a refinement of this data processing inequality that includes an additional term related to recoverability. That is, if the increase in the measure is small after the action of a partial trace, then one of the states can be nearly recovered by the Petz recovery channel, while the other state is perfectly recovered by the same channel. The refinement is given in terms of the trace distance of one of the states to its recovered version and also depends on the minimum eigenvalue of the other state. As such, the refinement is universal, in the sense that the recovery channel depends only on one of the states, and it is explicit, given by the Petz recovery channel. The appendix contains a generalization of the aforementioned result to arbitrary quantum channels. "
1801_00788_Hydro_CGM_v4.tex,"  Hydrostatic equilibrium (HSE), where the thermal pressure gradient  balances the force of gravity, is tested across a range of simulated  EAGLE haloes from Milky Way $L^*$ haloes ( $M_{200}12  \msolar$ ) to cluster scales. Clusters ( $M_{200}14  \msolar$ ) reproduce previous results with thermal pressure  responsible for $\sim 90\%$ of the support against gravity, but this  fraction drops for group-sized haloes ( $M_{200}13  \msolar$ ) and is even lower ( $40-70\%$ ) for $L^*$ haloes between  $0.1-0.3 R_{200}$ . Energy from feedback grows relative to the  binding energy of a halo toward lower mass resulting in greater  deviations from HSE. Tangential motions comprise the largest  deviation from HSE in $L^*$ haloes indicating that the hot  circumgalactic medium (CGM) has significant sub-centrifugal rotation  and angular momentum spin parameters $2-3\times$ higher than the  dark matter spin parameters. Thermal feedback can buoyantly rise to  the outer CGM of $M_{200}12 \msolar$ haloes, both moving  baryons beyond $R_{200}$ and feeding uncorrelated tangential  motions. The resulting hot halo density and rotation profiles show  promising agreement with X-ray observations of the inner Milky Way  halo, and we discuss future observational prospects to detect  spinning hot haloes around other galaxies. Acceleration and radial  streaming motions also comprise significant deviations from HSE,  especially net outward accelerations seen in $L^*$ and group haloes  indicating active feedback. Black hole feedback acts in a  preventative manner during the later growth of group haloes,  applying significant accelerations via shocks that do not feed  tangential motions. We argue that HSE is a poor assumption for the  CGM, especially in the inner regions, and rotating baryonic hot  haloes are a critical consideration for analytic models of the CGM.  %XXX  "
1801_04071_misawa.tex," We performed spectroscopic observations of the small-separation lensed quasar SDSS~J1001+5027, whose images have an angular separation $\!\!\prime\prime86$ , and placed constraints on the physical properties of gas clouds in the vicinity of the quasar (i.e., in the outflowing wind launched from the accretion disk). The two cylinders of sight to the two lensed images go through the same region of the outflowing wind and they become fully separated with no overlap at a very large distance from the source ( $\sim$ 330~pc). We discovered a clear difference in the profile of the C{4} broad absorption line (BAL) detected in the two lensed images in two observing epochs. Because the kinematic components in the BAL profile do not vary in concert, the observed variations cannot be reproduced by a simple change of ionization state. If the variability is due to gas motion around the background source (i.e., the continuum source), the corresponding rotational velocity is $v_{\rm rot}\geq 18,000$ ~ \kms, and their distance from the source is $r\leq 0.06$ ~pc assuming Keplerian motion. Among three Mg{2} and three C{4} NAL systems that we detected in the spectra, only the Mg{2} system at \zabs \ = 0.8716 shows a hint of variability in its Mg{1} profile on a rest-frame time scale of $\Delta t_{\rm  rest}$  $\leq$ 191~days and an obvious velocity shear between the sightlines whose physical separation is $\sim$ 7~kpc. We interpret this as the result of motion of a cosmologically intervening absorber, perhaps located in a foreground galaxy. "
1801_08230_main.tex," This paper describes an approach that combines generative adversarial networks (GANs) with interactive evolutionary computation (IEC). While GANs can be trained to produce lifelike images, they are normally sampled randomly from the learned distribution, providing limited control over the resulting output. On the other hand, interactive evolution has shown promise in creating various artifacts such as images, music and 3D objects, but traditionally relies on a hand-designed evolvable representation of the target domain. The main insight in this paper is that a GAN trained on a specific target domain can act as a compact and robust genotype-to-phenotype mapping (i.e. \ most produced phenotypes do resemble valid domain artifacts). Once such a GAN is trained, the latent vector given as input to the GAN's generator network can be put under evolutionary control, allowing controllable and high-quality image generation.  In this paper, we demonstrate the advantage of this novel approach through a user study in which participants were able to evolve images that strongly resemble specific target images. "
1801_08586_main.tex, abstract
1801_06172_cpfm_sentiment_fm.tex," %While existing machine learning-based methods have achieved great success for sentiment classification, they typically cannot explicitly capture sentiment-oriented word interaction, which causes poor results for fine-grained analysis at the snippet level (a phrase or sentence).  While existing machine learning models have achieved great success for sentiment classification, they typically do not explicitly capture sentiment-oriented word interaction, which can lead to poor results for fine-grained analysis at the snippet level (a phrase or sentence). Factorization Machine provides a possible approach to learning element-wise interaction for recommender systems, but they are not directly applicable to our task due to the inability to model contexts and word sequences. In this work, we develop two Position-aware Factorization Machines which consider word interaction, context and position information. Such information is jointly encoded in a set of sentiment-oriented word interaction vectors. Compared to traditional word embeddings, SWI vectors explicitly capture sentiment-oriented word interaction and simplify the parameter learning. Experimental results show that while they have comparable performance with state-of-the-art methods for document-level classification, they benefit the snippet/sentence-level sentiment analysis.  "
